date,price_first_auction,price_second_auction,auction_price_spread,auction_spread_dir,y_proba,trade_signal,trade,position_size,profit,profit_pct,cumulative_profit
2022-07-22 01:00:00,222.7,219.12,-3.579999999999984,0,0.4460480242306072,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-22 02:00:00,215.6,214.99,-0.6099999999999852,0,0.4188547879528327,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-22 03:00:00,216.1,218.73,2.6299999999999955,1,0.46859015222217515,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-22 04:00:00,215.6,214.9,-0.6999999999999886,0,0.4847696759763118,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-22 05:00:00,217.0,202.05,-14.949999999999989,0,0.4826753260854052,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-22 06:00:00,255.0,289.82,34.81999999999999,1,0.49647181905370796,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-22 07:00:00,306.7,320.7,14.0,1,0.618376103644404,long,long,3.8238900555843465,48.53446077818085,4.13838637923996,1069.0960543470296
2022-07-22 08:00:00,319.7,335.62,15.920000000000016,1,0.5796865952758232,hold,hold,0.0,0.0,,1069.0960543470296
2022-07-22 09:00:00,278.4,315.01,36.610000000000014,1,0.6641525185493901,long,long,4.410985678954979,156.48618570654182,12.742983659468743,1225.5822400535715
2022-07-22 10:00:00,276.0,304.07,28.069999999999993,1,0.5932954930143239,hold,hold,0.0,0.0,,1225.5822400535715
2022-07-22 11:00:00,280.15,298.51,18.360000000000017,1,0.6331608274313871,long,long,4.008926333935988,68.6038874910648,6.108435933699636,1294.1861275446363
2022-07-22 12:00:00,271.9,292.14,20.24000000000001,1,0.5992572162623553,hold,hold,0.0,0.0,,1294.1861275446363
2022-07-22 13:00:00,268.8,284.72,15.920000000000016,1,0.6161122585364016,long,long,3.7959431511882578,55.431414966917124,5.4325908850432345,1349.6175425115534
2022-07-22 14:00:00,265.0,272.06,7.060000000000002,1,0.6028144122330219,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 15:00:00,262.0,280.99,18.99000000000001,1,0.5917331680635729,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 16:00:00,301.3,305.4,4.099999999999966,1,0.5615755524447896,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 17:00:00,319.7,324.6,4.900000000000034,1,0.510396899521281,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 18:00:00,343.0,350.0,7.0,1,0.46775431307029336,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 19:00:00,385.8,377.36,-8.439999999999998,0,0.42506968892923336,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 20:00:00,362.6,350.0,-12.600000000000025,0,0.4637801794365104,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 21:00:00,365.0,351.0,-14.0,0,0.47307361354721994,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 22:00:00,321.6,306.01,-15.590000000000032,0,0.48688521141216007,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-22 23:00:00,267.6,300.0,32.39999999999998,1,0.3984718667674894,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-23 00:00:00,239.9,268.19,28.289999999999992,1,0.6087039638601042,hold,hold,0.0,0.0,,1349.6175425115534
2022-07-23 01:00:00,237.9,272.15,34.24999999999997,1,0.6441714296420489,long,long,4.149568307670811,137.12271453772516,13.890313317294511,1486.7402570492786
